Imported from ls-asymmetric-typeE-9x11L130-sample00.h5 hdf Network
  2730.222137 3315.944035 2971.445557 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  154 total number of segments
name	type	from	to	diam		flow		HD
98 1325.000000 1337.749908 1368.433655
99 1780.000000 1525.388733 1580.722778
100 1650.000000 1450.333221 1686.867310
101 1650.000000 1300.222137 1580.722778
102 1845.000000 2088.305176 1262.289108
103 935.000000 2088.305176 1580.722778
104 1845.000000 2238.416382 1368.433655
105 1520.000000 1225.166611 1050.000000
106 1390.000000 1150.111069 2111.445557
107 1715.000000 1337.749908 1050.000000
108 1390.000000 1300.222137 1580.722778
109 1195.000000 1262.694366 2111.445557
110 1325.000000 1262.694366 1793.011902
111 1715.000000 1562.916504 1050.000000
112 1520.000000 1675.499817 1050.000000
113 1065.000000 1637.971985 1899.156433
114 1910.000000 2200.888550 1580.722778
115 1845.000000 2013.249695 1686.867310
116 1715.000000 1337.749908 1368.433655
117 1455.000000 1487.860962 1793.011902
118 1325.000000 1637.971985 1899.156433
119 1390.000000 2125.833008 1050.000000
120 1130.000000 1300.222137 1899.156433
121 1000.000000 1375.277649 1793.011902
122 1585.000000 1262.694366 1793.011902
123 1650.000000 1750.555298 1580.722778
124 1260.000000 2125.833008 1050.000000
125 1000.000000 1525.388733 1580.722778
126 1260.000000 1825.610840 1793.011902
127 1130.000000 1450.333221 2005.301025
128 1390.000000 1900.666443 1686.867310
129 1325.000000 1713.027588 1156.144554
130 1845.000000 1187.638824 1580.722778
131 1260.000000 1675.499817 1368.433655
132 1780.000000 1825.610840 1793.011902
133 1650.000000 1750.555298 1899.156433
134 1715.000000 1187.638824 1262.289108
135 1715.000000 1412.805420 1899.156433
136 1455.000000 1637.971985 1262.289108
137 1845.000000 1262.694366 1793.011902
138 1585.000000 1938.194092 1793.011902
139 1325.000000 1112.583305 1368.433655
140 1650.000000 1900.666443 2005.301025
141 1195.000000 2313.471802 1580.722778
142 1260.000000 1975.721924 1899.156433
143 1065.000000 1713.027588 2111.445557
144 1065.000000 1863.138611 1899.156433
145 1065.000000 1562.916504 1368.433655
146 1520.000000 1075.055534 1262.289108
147 1715.000000 2013.249695 2005.301025
148 1260.000000 1525.388733 1262.289108
149 1520.000000 1225.166611 2005.301025
