Imported from ssels-default-typeE-17x1L130-sample00.h5 hdf Network
  3855.333221 4881.332794 1900.666443 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  189 total number of segments
name	type	from	to	diam		flow		HD
54 2820.000000 3026.499390 1050.000000
55 1845.000000 2463.582886 1050.000000
56 2690.000000 2125.833008 1050.000000
57 2105.000000 1562.916504 1050.000000
58 935.000000 1788.083130 1050.000000
59 2560.000000 2576.166260 1050.000000
60 2105.000000 2688.749512 1050.000000
61 2885.000000 2463.582886 1050.000000
62 1845.000000 2238.416382 1050.000000
63 2430.000000 2350.999634 1050.000000
64 1390.000000 2350.999634 1050.000000
65 2300.000000 1675.499817 1050.000000
66 1195.000000 2238.416382 1050.000000
67 1390.000000 1900.666443 1050.000000
68 1715.000000 1562.916504 1050.000000
69 1325.000000 2463.582886 1050.000000
70 2625.000000 1788.083130 1050.000000
71 740.000000 2350.999634 1050.000000
72 2495.000000 3139.082764 1050.000000
73 805.000000 1562.916504 1050.000000
74 1975.000000 2688.749512 1050.000000
75 2235.000000 2463.582886 1050.000000
76 3015.000000 2688.749512 1050.000000
77 1780.000000 2576.166260 1050.000000
78 2690.000000 2350.999634 1050.000000
79 1195.000000 2463.582886 1050.000000
80 2820.000000 2576.166260 1050.000000
81 1065.000000 2013.249695 1050.000000
82 1130.000000 1900.666443 1050.000000
83 1585.000000 1788.083130 1050.000000
84 1650.000000 2801.332886 1050.000000
85 1910.000000 1450.333221 1050.000000
86 1780.000000 1675.499817 1050.000000
87 1585.000000 2913.916138 1050.000000
88 1585.000000 2013.249695 1050.000000
89 2560.000000 1675.499817 1050.000000
90 2235.000000 2913.916138 1050.000000
91 1585.000000 2238.416382 1050.000000
92 1780.000000 1900.666443 1050.000000
93 2105.000000 1788.083130 1050.000000
94 1195.000000 2688.749512 1050.000000
95 1390.000000 2801.332886 1050.000000
96 2690.000000 1900.666443 1050.000000
97 2105.000000 2013.249695 1050.000000
98 1780.000000 3026.499390 1050.000000
99 2365.000000 2013.249695 1050.000000
100 1910.000000 2801.332886 1050.000000
101 2040.000000 3026.499390 1050.000000
102 1910.000000 1900.666443 1050.000000
103 1195.000000 2913.916138 1050.000000
104 1000.000000 3026.499390 1050.000000
105 1325.000000 3139.082764 1050.000000
106 2755.000000 2013.249695 1050.000000
107 2040.000000 1675.499817 1050.000000
108 1455.000000 2463.582886 1050.000000
109 1195.000000 3139.082764 1050.000000
110 2755.000000 2238.416382 1050.000000
111 2495.000000 1788.083130 1050.000000
112 2235.000000 2238.416382 1050.000000
113 2495.000000 2013.249695 1050.000000
114 2170.000000 2350.999634 1050.000000
115 1325.000000 2238.416382 1050.000000
116 2885.000000 2913.916138 1050.000000
117 1910.000000 2350.999634 1050.000000
118 2495.000000 2688.749512 1050.000000
119 1650.000000 2350.999634 1050.000000
120 1260.000000 2576.166260 1050.000000
121 2235.000000 2688.749512 1050.000000
122 2690.000000 3026.499390 1050.000000
123 1390.000000 2576.166260 1050.000000
124 1520.000000 2576.166260 1050.000000
125 2040.000000 2350.999634 1050.000000
126 2885.000000 1788.083130 1050.000000
127 2105.000000 2463.582886 1050.000000
128 1780.000000 2350.999634 1050.000000
129 2300.000000 2576.166260 1050.000000
130 2040.000000 2125.833008 1050.000000
131 740.000000 2576.166260 1050.000000
132 1585.000000 2688.749512 1050.000000
133 1975.000000 2913.916138 1050.000000
134 2885.000000 2688.749512 1050.000000
135 2755.000000 3139.082764 1050.000000
136 1975.000000 2238.416382 1050.000000
137 2300.000000 2801.332886 1050.000000
138 1715.000000 2463.582886 1050.000000
139 2690.000000 2576.166260 1050.000000
140 2430.000000 2576.166260 1050.000000
141 2690.000000 3251.666016 1050.000000
142 1715.000000 2238.416382 1050.000000
143 1065.000000 3139.082764 1050.000000
144 2820.000000 2801.332886 1050.000000
145 870.000000 2801.332886 1050.000000
146 2820.000000 3251.666016 1050.000000
147 805.000000 2913.916138 1050.000000
148 2365.000000 2688.749512 1050.000000
149 2690.000000 2801.332886 1050.000000
150 2560.000000 1900.666443 1050.000000
151 2300.000000 3026.499390 1050.000000
152 1650.000000 1900.666443 1050.000000
153 2885.000000 2013.249695 1050.000000
154 1975.000000 1788.083130 1050.000000
155 2950.000000 1900.666443 1050.000000
156 2560.000000 2801.332886 1050.000000
157 2625.000000 2688.749512 1050.000000
158 805.000000 2463.582886 1050.000000
159 935.000000 2913.916138 1050.000000
160 2365.000000 3139.082764 1050.000000
161 1585.000000 2463.582886 1050.000000
162 2105.000000 2238.416382 1050.000000
163 2560.000000 3026.499390 1050.000000
164 1715.000000 2013.249695 1050.000000
165 2170.000000 2801.332886 1050.000000
166 2625.000000 3139.082764 1050.000000
167 1195.000000 1788.083130 1050.000000
168 2235.000000 1788.083130 1050.000000
169 2365.000000 2913.916138 1050.000000
170 2300.000000 2125.833008 1050.000000
171 2885.000000 3139.082764 1050.000000
172 2365.000000 1788.083130 1050.000000
173 1845.000000 1788.083130 1050.000000
174 1845.000000 1562.916504 1050.000000
175 2430.000000 2125.833008 1050.000000
176 935.000000 3139.082764 1050.000000
177 805.000000 2238.416382 1050.000000
178 2820.000000 2125.833008 1050.000000
179 870.000000 2125.833008 1050.000000
180 2755.000000 1562.916504 1050.000000
181 1065.000000 2463.582886 1050.000000
182 1585.000000 3139.082764 1050.000000
183 2170.000000 1900.666443 1050.000000
184 1845.000000 3139.082764 1050.000000
185 870.000000 2350.999634 1050.000000
186 2625.000000 1562.916504 1050.000000
187 1845.000000 2688.749512 1050.000000
188 1065.000000 2688.749512 1050.000000
189 1390.000000 2125.833008 1050.000000
190 1325.000000 2013.249695 1050.000000
191 1520.000000 2125.833008 1050.000000
192 2950.000000 2125.833008 1050.000000
193 3080.000000 2125.833008 1050.000000
194 2885.000000 2238.416382 1050.000000
195 1325.000000 1788.083130 1050.000000
196 1260.000000 1675.499817 1050.000000
197 1455.000000 1788.083130 1050.000000
198 1065.000000 2238.416382 1050.000000
199 935.000000 2238.416382 1050.000000
200 1130.000000 2350.999634 1050.000000
201 2625.000000 2238.416382 1050.000000
202 2755.000000 2463.582886 1050.000000
203 1585.000000 1562.916504 1050.000000
204 1390.000000 3026.499390 1050.000000
205 1325.000000 2913.916138 1050.000000
206 1520.000000 3026.499390 1050.000000
207 1845.000000 2913.916138 1050.000000
208 1715.000000 1788.083130 1050.000000
209 1975.000000 2013.249695 1050.000000
210 3015.000000 1788.083130 1050.000000
211 3080.000000 1675.499817 1050.000000
212 3080.000000 1900.666443 1050.000000
213 870.000000 2576.166260 1050.000000
214 935.000000 2463.582886 1050.000000
215 935.000000 2688.749512 1050.000000
2 total number of boundary nodes
node	bctyp	press/flow	HD	PO2
1 	2 	7.487300 	0.37 	55. 1. 1
2 	0 	3.552007 	0.37 	55. 1. 1
