Imported from s-asymmetric-typeE-17x21L130-sample00.h5 hdf Network
  4590.444275 5744.471436 4942.891113 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  352 total number of segments
name	type	from	to	diam		flow		HD
236 5 38 578 21.600010 62.3736464109 0.365021
237 5 579 61 104.796440 34.7624351158 0.362311
238 5 48 580 21.600002 62.3736464109 0.365021
239 5 582 54 52.551144 34.7624351159 0.362311
240 5 584 23 52.551167 34.7624351158 0.362311
241 5 585 35 121.238022 90.8900630168 0.372941
242 5 586 49 104.796410 34.7624351113 0.362311
243 5 588 55 121.237961 90.8900630147 0.372941
244 5 589 32 104.796181 34.7624351130 0.362311
245 5 590 41 104.796501 34.7624351085 0.362311
246 5 591 60 104.796471 34.7624351135 0.362311
247 5 595 46 106.211067 90.8900630174 0.372941
248 5 596 67 52.551105 34.7624351163 0.362311
249 5 597 52 52.551121 34.7624351161 0.362311
250 5 599 33 85.161652 90.8900630165 0.372941
251 5 605 249 48.594257 33.9381006864 0.350800
252 5 621 156 52.551098 34.7624351164 0.362311
253 5 623 180 52.551090 34.7624351165 0.362311
254 5 635 40 69.855370 90.8900630168 0.372941
255 5 638 71 60.923336 90.8900630167 0.372941
256 5 648 354 69.855309 90.8900630169 0.372941
257 5 654 253 42.030682 34.7624351166 0.362311
258 5 668 197 60.923325 90.8900630167 0.372941
259 5 685 182 52.551083 34.7624351167 0.362311
260 5 690 227 53.745811 90.8900630167 0.372941
261 5 694 261 52.551067 34.7624351166 0.362311
262 5 702 244 52.551075 34.7624351166 0.362311
263 5 768 213 42.030674 34.7624351166 0.362311
264 5 790 327 42.030666 34.7624351166 0.362311
265 5 794 349 42.030659 34.7624351165 0.362311
266 5 795 359 69.855324 90.8900630169 0.372941
267 5 798 194 69.855354 90.8900630167 0.372941
268 5 800 357 69.855339 90.8900630166 0.372941
269 5 847 249 34.341461 56.9519623301 0.386134
270 5 849 406 27.256836 56.9519623300 0.386134
271 5 959 3620 23.811024 56.9519623300 0.386134
272 5 1031 849 23.811043 56.9519623300 0.386134
273 5 1033 1031 23.811041 56.9519623300 0.386134
274 5 1036 353 25.649662 34.7624351166 0.362311
275 5 1229 165 31.201296 33.9381006864 0.350800
276 5 1231 1229 31.201294 33.9381006864 0.350800
277 5 1659 1754 15.000000 29.3407510357 0.402792
278 5 1754 4791 15.000000 29.3407510357 0.402792
279 5 1915 5211 21.633755 33.9381006864 0.350800
280 5 2008 1033 23.811039 56.9519623300 0.386134
281 5 2010 2008 23.811037 56.9519623300 0.386134
282 5 2033 1036 25.649660 34.7624351166 0.362311
283 5 2034 2033 25.649658 34.7624351166 0.362311
284 5 2461 1231 31.201292 33.9381006864 0.350800
285 5 2463 2461 31.201290 33.9381006864 0.350800
286 5 2552 2618 21.633759 33.9381006864 0.350800
287 5 2618 3712 21.633760 33.9381006864 0.350800
288 5 2813 5538 21.633747 33.9381006864 0.350800
289 5 3030 2034 25.649656 34.7624351166 0.362311
290 5 3032 3030 25.649654 34.7624351166 0.362311
291 5 3412 2463 31.201288 33.9381006864 0.350800
292 5 3413 3412 31.201286 33.9381006864 0.350800
293 5 3593 2010 23.811035 56.9519623300 0.386134
294 5 3595 3593 23.811033 56.9519623300 0.386134
295 5 3607 3635 27.256834 33.9381006864 0.350800
296 5 3620 3694 23.811026 56.9519623300 0.386134
297 5 3635 4747 27.256836 33.9381006864 0.350800
298 5 3646 4299 15.000001 34.7624351166 0.362311
299 5 3694 5289 23.811028 56.9519623300 0.386134
300 5 3711 1915 21.633753 33.9381006864 0.350800
301 5 3712 4312 21.633762 33.9381006864 0.350800
302 5 3872 959 21.633749 56.9519623300 0.386134
303 5 4015 3032 25.649652 34.7624351166 0.362311
304 5 4017 4015 23.811028 34.7624351166 0.362311
305 5 4277 4638 23.811020 34.7624351165 0.362311
306 5 4299 4277 21.633747 34.7624351166 0.362311
307 5 4312 4324 21.633764 33.9381006864 0.350800
308 5 4324 5511 21.633766 33.9381006864 0.350800
309 5 4626 3595 23.811031 56.9519623300 0.386134
310 5 4638 5201 23.811022 34.7624351165 0.362311
311 5 4745 3413 31.201284 33.9381006864 0.350800
312 5 4747 4745 27.256838 33.9381006864 0.350800
313 5 4791 3872 21.633747 56.9519623300 0.386134
314 5 5146 3607 27.256832 33.9381006864 0.350800
315 5 5177 5195 15.000000 27.6112112943 0.368432
316 5 5195 4791 18.898817 27.6112112943 0.368432
317 5 5200 4017 23.811026 34.7624351165 0.362311
318 5 5201 5200 23.811024 34.7624351165 0.362311
319 5 5211 2552 21.633757 33.9381006864 0.350800
320 5 5289 4626 23.811029 56.9519623300 0.386134
321 5 5326 5146 27.256830 33.9381006864 0.350800
322 5 5511 5326 21.633768 33.9381006864 0.350800
323 5 5522 3711 21.633751 33.9381006864 0.350800
324 5 5538 5522 21.633749 33.9381006864 0.350800
325 5 5823 384 15.000000 33.9381006864 0.350800
326 5 5824 5823 15.000000 33.9381006864 0.350800
327 5 6072 3646 15.000000 34.7624351166 0.362311
328 5 6074 6072 15.000000 34.7624351166 0.362311
329 5 6177 5177 15.000000 27.6112112943 0.368432
330 5 6514 5824 11.000000 33.9381006864 0.350800
331 5 6515 6514 11.000000 33.9381006864 0.350800
332 5 6516 6515 11.000000 33.9381006864 0.350800
333 5 6517 6516 11.000000 33.9381006864 0.350800
334 5 6518 6517 11.000000 33.9381006864 0.350800
335 5 484 6518 11.000000 33.9381006864 0.350800
336 5 6519 6074 11.000000 34.7624351166 0.362311
337 5 6520 6519 11.000000 34.7624351166 0.362311
338 5 6521 6520 11.000000 34.7624351166 0.362311
339 5 6522 6521 11.000000 34.7624351166 0.362311
340 5 492 6522 11.000000 34.7624351166 0.362311
341 5 6523 1659 11.000000 29.3407510357 0.402792
342 5 6524 6523 11.000000 29.3407510357 0.402792
343 5 6525 6524 11.000000 29.3407510357 0.402792
344 5 6526 6525 11.000000 29.3407510357 0.402792
345 5 6527 6526 11.000000 29.3407510357 0.402792
346 5 484 6527 11.000000 29.3407510357 0.402792
347 5 6528 6177 11.000000 27.6112112943 0.368432
348 5 6529 6528 11.000000 27.6112112943 0.368432
349 5 6530 6529 11.000000 27.6112112943 0.368432
350 5 6531 6530 11.000000 27.6112112943 0.368432
351 5 6532 6531 11.000000 27.6112112943 0.368432
352 5 492 6532 11.000000 27.6112112943 0.368432
  6532 total number of nodes
name x y z
1 1000.000000 1600.444275 1474.578217
2 3080.000000 2801.332886 2323.734619
3 2820.000000 2651.221680 1899.156433
4 2820.000000 2951.443848 1474.578217
5 2560.000000 2200.888550 1899.156433
6 1520.000000 1600.444275 1474.578217
7 1780.000000 1450.333221 1050.000000
8 1780.000000 1750.555298 1899.156433
9 2560.000000 1900.666443 2323.734619
10 2040.000000 1900.666443 2323.734619
11 2300.000000 1450.333221 2323.734619
12 2560.000000 3401.777100 1474.578217
13 2950.000000 1225.166611 1686.867310
14 2820.000000 3551.887939 1899.156433
15 2300.000000 1450.333221 1050.000000
16 1520.000000 1300.222137 3172.891113
17 2560.000000 1900.666443 1050.000000
18 1780.000000 1450.333221 2323.734619
19 1260.000000 1750.555298 3172.891113
20 1520.000000 1600.444275 2748.312866
21 2300.000000 2350.999634 1050.000000
22 1780.000000 2350.999634 1050.000000
23 1000.000000 2501.110596 2748.312866
24 2820.000000 3251.666016 2323.734619
25 2560.000000 2801.332886 2323.734619
26 2300.000000 1750.555298 1899.156433
27 1780.000000 2050.777466 2748.312866
